Start Date,Start Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,Stop Date,Stop Time,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Trip_Duration_mins,Trip_Duration_secs,Bike ID,User Type,Birth Year,Gender
2015-10-01,08:34,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,2015-10-01,08:38,3183,Exchange Place,40.7162469,-74.0334588,3,207,24513,Subscriber,1962,1
2015-10-01,08:35,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,08:41,3202,Newport PATH,40.7272235,-74.03375890000001,6,355,24671,Subscriber,1954,1
2015-10-01,08:35,3215,Central Ave,40.7467299,-74.0492509,2015-10-01,09:07,3202,Newport PATH,40.7272235,-74.03375890000001,31,1869,24644,Subscriber,1982,1
2015-10-01,08:36,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,08:43,3186,Grove St PATH,40.71958611647166,-74.0431174635887,7,448,24517,Subscriber,1968,1
2015-10-01,08:38,3196,Riverview Park,40.7443187,-74.04399090000001,2015-10-01,08:58,3184,Paulus Hook,40.7141454,-74.0335519,21,1246,24608,Subscriber,1984,1
2015-10-01,08:38,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,2015-10-01,08:40,3183,Exchange Place,40.7162469,-74.0334588,3,163,24649,Subscriber,1983,1
2015-10-01,08:38,3193,Lincoln Park,40.7246050998869,-74.07840594649316,2015-10-01,08:59,3202,Newport PATH,40.7272235,-74.03375890000001,21,1282,24435,Subscriber,1985,1
2015-10-01,08:39,3199,Newport Pkwy,40.7287448,-74.03210820000001,2015-10-01,08:49,3183,Exchange Place,40.7162469,-74.0334588,10,624,24581,Subscriber,1972,2
2015-10-01,08:39,3209,Brunswick St,40.7241765,-74.05065640000001,2015-10-01,08:43,3186,Grove St PATH,40.71958611647166,-74.0431174635887,4,263,24639,Subscriber,1967,2
2015-10-01,08:40,3195,Sip Ave,40.730742625306576,-74.06378388404845,2015-10-01,08:44,3194,McGinley Square,40.7253399253558,-74.06762212514876,4,236,24422,Subscriber,1975,1
2015-10-01,08:41,3194,McGinley Square,40.7253399253558,-74.06762212514876,2015-10-01,08:45,3195,Sip Ave,40.730742625306576,-74.06378388404845,5,282,24504,Subscriber,1989,2
2015-10-01,08:41,3209,Brunswick St,40.7241765,-74.05065640000001,2015-10-01,08:43,3211,Newark Ave,40.72152515,-74.046304543,3,156,24436,Subscriber,1978,1
2015-10-01,08:41,3211,Newark Ave,40.72152515,-74.046304543,2015-10-01,08:44,3186,Grove St PATH,40.71958611647166,-74.0431174635887,2,139,24570,Subscriber,1972,1
2015-10-01,08:42,3213,Van Vorst Park,40.71848892,-74.047726625,2015-10-01,08:48,3183,Exchange Place,40.7162469,-74.0334588,6,335,24527,Subscriber,1983,1
2015-10-01,08:42,3213,Van Vorst Park,40.71848892,-74.047726625,2015-10-01,08:48,3183,Exchange Place,40.7162469,-74.0334588,6,334,24495,Subscriber,1988,2
2015-10-01,08:42,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,08:53,3183,Exchange Place,40.7162469,-74.0334588,10,629,24688,Subscriber,1989,1
2015-10-01,08:42,3190,Garfield Ave Station,40.7104670233797,-74.07003879547119,2015-10-01,08:56,3186,Grove St PATH,40.71958611647166,-74.0431174635887,14,814,24650,Subscriber,1988,1
2015-10-01,08:43,3185,City Hall,40.7177325,-74.04384499999999,2015-10-01,08:49,3184,Paulus Hook,40.7141454,-74.0335519,7,391,24612,Subscriber,1982,2
2015-10-01,08:43,3209,Brunswick St,40.7241765,-74.05065640000001,2015-10-01,08:52,3183,Exchange Place,40.7162469,-74.0334588,9,528,24493,Subscriber,1949,1
